SubjectID,Gender,MajorChangeLikelihood_PostQ,VisitCompleted,ZNONSTEMImageDotPmean_V1,ZSTEMImageDotPmean_V1,ZDcorrect_AllProblems_V1,ZDwrong_AllProblems_V1,Zmathdevalue_V1,ZGRIT_V1,Zcoratmpt_V1,ZMoodComp_V1,ZSAQ1_V1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,ZWrongFeedback_DPD_SelectedModularity_Theta,ZWrongFeedback_DPD_SelectedModularity_Beta,ZWrongFeedback_DPD_SelectedModularity_Gamma
39941,0,5,3,0.3593,1.27012,-0.18488,0.33939,-0.36683,-1.35215,0.51004,-1.17247,0.7693,0.05395,-0.56521,-1.25504,1.5471,0.29213,0.88382
40260,0,5,2,-0.26375,-0.39952,-1.92502,-0.16721,-0.82323,0.13556,-1.10889,-1.17247,0.7693,-0.63909,0.02869,-1.16542,-0.71605,-1.02992,-1.67386
40972,0,4,3,-0.11429,-0.07282,1.88218,0.87177,-1.27963,-1.16618,0.51004,-0.29883,-0.07065,0.71744,1.12737,0.39467,0.6413,1.0344,0.7152
42217,0,3,3,-0.08294,0.18066,0.61945,-2.35909,0.77417,-0.60829,-0.81154,1.27372,-0.07065,0.7962,0.03408,0.07355,-0.51852,1.68033,1.70737
43910,0,,2,0.06741,1.18397,-1.44004,-0.11298,0.31777,1.25134,0.51004,0.92426,0.7693,0.10488,-0.36677,0.16039,0.86017,1.01029,-1.42303
45892,0,,4,-0.05858,-0.13743,-0.62748,-1.3945,0.77417,-0.98022,-1.80272,0.57481,-0.07065,-1.70409,-2.25383,-3.28799,0.15457,0.13212,-0.78196
46362,0,5,2,-0.16506,-0.37633,-0.16968,-1.36793,1.23057,-0.0504,-0.64634,-1.17247,-0.07065,0.89339,1.82313,1.91781,-1.2145,-0.61872,-0.36481
47183,0,5,4,0.77927,0.92254,-0.67568,-0.46702,-0.82323,-0.60829,-0.06815,0.40008,1.60926,-0.1823,-0.61786,0.94386,-0.7418,-0.45682,-1.05457
52259,0,,2,2.13103,,-0.02051,-0.12625,-1.27963,1.06538,-0.64634,-0.99774,-0.91061,0.41148,-0.03961,0.1504,0.61557,-0.42591,-0.44855
56727,0,,2,-0.36167,-0.7158,-0.12671,-0.69212,0.31777,-0.79426,-1.55492,0.92426,-2.59051,-0.71804,-1.30344,-1.50222,-1.39074,,-0.32382
56817,0,3,3,0.52029,1.01761,1.19094,-0.0244,0.08957,-0.42233,0.97259,-0.64829,-0.07065,1.16965,1.42553,0.84724,-0.04695,1.49081,0.89759
56919,0,4,3,-0.27696,-0.25141,-1.62508,-0.15323,0.31777,-2.096,-1.0318,0.22535,0.7693,1.30542,1.07326,-0.27089,1.08179,0.22451,0.81146
58160,0,,2,-0.01704,0.29182,-0.34631,0.09377,-0.36683,-0.23636,-1.80272,0.57481,-0.91061,-0.64845,0.60567,1.57997,-1.51694,-1.77809,-0.3099
58647,0,5,4,-0.34015,-0.49329,-0.6056,-0.1081,-0.82323,0.87942,-0.64634,0.92426,-0.91061,0.6499,2.09747,1.78034,0.204,-0.94527,0.29137
58927,0,,1,-0.02648,0.42419,0.24841,0.42029,1.23057,0.50749,1.08823,-0.82302,0.7693,-0.14477,0.15217,-1.85441,-1.35443,-1.40793,-0.47711
59423,0,,4,-0.16016,-0.0652,-0.70119,-0.60972,-1.50783,-0.79426,0.97259,-0.64829,1.60926,1.38449,0.08754,-0.12667,0.38893,0.46432,0.34973
61341,0,1,3,0.41859,1.09815,0.34249,-0.11257,0.31777,-0.42233,-0.64634,-1.17247,-1.75056,0.70502,-0.46665,-1.0079,-2.19981,-0.28528,-0.84605
63184,0,4,3,0.59757,1.37217,1.14415,0.43043,2.14338,-0.60829,-0.64634,-0.29883,-0.07065,0.09868,-0.21523,0.41305,0.57431,-0.14172,0.92619
66832,0,2,3,0.82917,,-0.5369,0.80026,0.31777,-0.23636,-1.22453,0.05062,0.7693,0.71987,0.38642,0.35307,1.13653,1.13973,1.24914
67325,0,,1,-0.40661,-0.75638,-0.6406,-0.21315,0.08957,1.9952,-1.10889,-0.12411,-0.07065,0.75585,0.16567,-1.17582,-0.69221,0.74889,-0.57496
67393,0,,2,-0.01012,0.42254,0.97011,-0.49679,0.08957,1.25134,-0.06815,-0.82302,-0.07065,0.78922,-0.66359,-0.03178,-0.09286,-0.41574,-0.58076
67788,0,3,3,0.24552,0.70087,-0.25213,2.11074,-1.27963,-0.79426,0.17964,-0.12411,0.7693,,,,,,
68498,0,2,3,-0.09798,0.09451,0.79872,0.72763,1.23057,-0.0504,-0.06815,-0.82302,0.7693,-1.34074,-1.1777,-1.00306,-0.77487,0.31222,-1.2569
69189,0,5,4,0.25189,-0.19318,0.28199,0.04011,0.08957,1.25134,0.27876,-0.99774,0.7693,0.18838,0.17906,-1.47174,1.00295,1.45838,1.85452
69742,0,5,4,-0.31278,-0.59507,-0.64913,-0.56187,-1.05143,0.13556,-0.93543,3.02099,-0.91061,-0.69454,0.77088,0.92715,0.53302,0.87156,0.63927
69875,0,4,3,-0.21614,0.1124,-0.6846,1.6108,1.91517,-0.79426,0.27876,0.05062,-0.07065,0.35229,0.29191,-0.42966,0.89745,0.68123,1.31573
73140,0,4,2,-0.25509,-0.43397,-0.12365,-0.99208,1.23057,-0.98022,-0.06815,0.40008,-0.91061,-1.00231,-0.24722,-0.84026,,,
74632,0,5,3,-0.12441,-0.08954,0.64146,0.16454,1.00237,0.13556,-0.81154,0.22535,-0.91061,-1.46049,-0.84283,-0.71739,-1.05206,0.67637,0.66278
76317,0,5,2,-0.09892,-0.18736,-0.16904,-0.61443,-0.13863,1.62327,-0.22584,-1.17247,0.7693,0.94096,0.36754,1.60468,0.68646,0.3267,1.55367
78086,0,,2,0.08428,0.19789,1.0448,1.63752,1.23057,-0.23636,-0.93543,0.22535,-0.91061,1.16384,1.02774,0.15964,-1.4025,-0.41602,-0.02873
78097,0,1,3,-0.23316,-0.3243,0.68524,1.3656,0.54597,1.06538,-0.64634,-0.64829,-0.91061,,,,,,
78778,0,5,3,-0.23454,-0.27527,0.3212,-1.05171,-1.27963,0.50749,-0.06815,-0.47356,-0.91061,0.97224,-0.47156,-0.37109,1.97875,0.16989,1.14395
79316,0,5,3,-0.02603,-0.17951,0.75081,1.75992,-0.13863,0.13556,-0.06815,-0.47356,-0.91061,-0.13223,0.96524,0.09803,1.26962,0.45004,0.98823
79943,0,,3,-0.43946,-0.82252,0.84426,0.34097,0.77417,0.32153,1.66641,0.05062,-0.07065,0.58573,-0.14844,-1.4992,,,
82836,0,5,2,-0.22007,-0.2715,0.74278,0.09688,-0.59503,1.25134,-0.06815,-0.64829,-0.07065,-0.34862,-0.70725,0.5761,-0.11931,1.04894,1.01186
83559,0,5,3,-0.27432,-0.53206,0.4828,0.27747,1.23057,1.80923,-0.06815,-1.17247,0.7693,-0.40952,0.90656,0.1092,-2.13606,-0.78759,-0.04716
84339,0,5,2,-0.25921,-0.52666,-0.01923,0.16621,-0.82323,0.13556,-0.64634,2.32208,1.60926,-0.92474,-1.20171,-0.11463,-0.55038,-0.22663,-0.20078
86535,0,,2,-0.4679,-0.93162,-0.22644,-1.13369,-1.50783,0.13556,0.51004,-0.64829,-0.91061,0.88073,-0.14572,0.03222,-0.45791,0.77405,0.45975
87398,0,4,4,-0.38999,-0.97075,1.46317,-0.33414,1.45877,0.32153,1.66641,1.44844,-0.07065,0.49506,0.86785,0.90582,-0.71929,-1.43314,-1.07338
92710,0,5,4,-0.44915,-0.78487,-1.23464,0.91112,-1.50783,-1.72407,-0.41506,-1.17247,-0.07065,0.43047,-0.64556,-1.30541,1.65932,0.33593,0.81326
93254,0,,2,0.37077,0.66542,-0.73416,-0.94328,0.31777,0.32153,-0.64634,-0.82302,-1.75056,1.04488,0.76786,0.52695,-0.38729,-0.11951,0.48901
99738,0,5,3,0.07077,0.22871,-0.05397,-0.50496,0.77417,0.13556,-0.81154,1.09899,-0.07065,,,,,,
472629,0,,1,-0.22561,-0.26102,1.79805,-0.74929,-0.59503,-2.28196,-0.31595,-1.17247,0.7693,,,,,,
