SubjectID,Gender,MajorChangeLikelihood_PostQ,VisitCompleted,ZNONSTEMImageDotPmean_V1,ZSTEMImageDotPmean_V1,ZDcorrect_AllProblems_V1,ZDwrong_AllProblems_V1,Zmathdevalue_V1,ZGRIT_V1,Zcoratmpt_V1,ZMoodComp_V1,ZSAQ1_V1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,ZWrongFeedback_DPD_SelectedModularity_Theta,ZWrongFeedback_DPD_SelectedModularity_Beta,ZWrongFeedback_DPD_SelectedModularity_Gamma
57324,1,5,2,-0.30717,-0.5907,0.00092,1.16586,1.91517,0.32153,-0.06815,0.05062,-1.75056,0.63503,0.38892,-0.19738,0.47992,0.98545,0.81413
58682,1,5,3,-0.45517,-0.99344,0.06701,0.43043,-0.36683,-2.28196,0.67523,2.14736,1.60926,1.25055,0.25212,0.65726,1.17059,0.37917,0.16127
58925,1,,2,-0.12252,0.07463,-1.02451,0.20747,-0.13863,-0.79426,-1.22453,-0.82302,-0.91061,-0.74533,0.38776,-0.28543,-2.12525,-1.15359,-2.24548
64375,1,5,4,-0.32681,-0.72921,-0.72148,-1.3617,1.00237,0.32153,0.79913,0.57481,-0.07065,-0.56225,-0.30946,0.77412,-1.63688,0.64648,0.24815
64735,1,,2,-0.1709,0.0627,-1.55331,0.30268,0.77417,0.13556,-1.48734,0.40008,-0.07065,,,,,,
65659,1,5,3,-0.2868,-0.60064,-1.31072,1.30609,0.54597,0.69345,1.08823,-0.99774,1.60926,-0.81904,-0.14013,0.10698,1.72904,1.0766,-0.28271
68038,1,5,4,-0.16796,0.19024,0.13434,0.7503,0.08957,-0.23636,1.66641,-0.29883,-0.07065,-2.62899,-1.65078,-1.61424,1.19894,-0.06814,-1.89178
68987,1,,2,-0.21441,-0.21132,-0.5467,0.52645,0.77417,-0.98022,-0.64634,0.74953,-0.07065,0.75051,-0.58221,-0.22666,0.89252,0.08342,-0.21132
69390,1,5,4,-0.33385,-0.77162,0.8254,0.93311,-1.05143,-0.60829,1.66641,-0.29883,-0.07065,0.03226,-1.11972,0.27514,0.8801,1.29756,0.83444
69637,1,,1,-0.45038,-0.91555,0.25935,-1.96922,-0.36683,0.13556,1.66641,-0.47356,-0.07065,-0.13436,0.2653,0.23585,1.0752,0.00752,-1.25818
70306,1,5,4,-0.38395,-1.05578,0.97551,-1.10518,-1.50783,0.32153,1.66641,-0.64829,1.60926,0.00726,0.74316,-0.40913,0.15696,0.26171,-1.39876
70990,1,5,2,-0.29244,-0.41211,-1.87202,1.07236,-1.05143,-0.23636,0.17964,-0.82302,1.60926,-0.14654,-1.01588,0.05375,0.06171,0.24643,-0.88092
72054,1,5,3,-0.38533,-0.77129,0.45833,-0.77847,-1.50783,0.87942,1.17082,0.40008,1.60926,0.76346,-0.56941,-0.54325,0.59764,-0.9582,0.72084
74449,1,1,3,-0.52266,-1.06386,-1.43469,-0.06828,-1.05143,-0.0504,0.17964,-0.47356,0.7693,,,,,,
76420,1,5,3,0.26843,0.66641,0.99811,1.58771,0.31777,-0.23636,1.66641,1.62317,-0.07065,0.16161,0.9331,0.5887,-1.25184,-0.63512,0.27917
77636,1,3,2,0.642,2.71079,1.08834,-1.54871,-0.59503,1.06538,0.51004,1.7979,-0.91061,-0.34381,0.98494,0.66023,-0.76332,-1.39382,-0.25331
80050,1,,4,-0.12542,0.20783,-0.50664,0.94051,0.08957,0.13556,1.17082,-0.47356,0.7693,0.01834,0.82529,-0.25765,0.2771,0.53309,0.78352
80564,1,5,2,-0.29534,-0.56552,-0.04976,-1.97763,3.51258,-1.91004,0.27876,-1.17247,-0.91061,0.90366,0.95871,1.30503,-0.95794,-0.66838,-0.71884
83102,1,5,2,-0.14153,-0.12785,0.08973,0.02056,1.00237,0.32153,0.67523,0.22535,-0.07065,-0.37532,-1.03688,-0.59267,-0.15406,-0.84667,-0.26284
83281,1,5,2,-0.62697,-1.19969,0.94435,-0.6763,-1.05143,-1.91004,0.97259,-1.17247,0.7693,0.18352,-0.17894,-0.59645,0.2471,-2.48339,-0.48987
84114,1,,3,0.00649,0.33606,-0.56268,-0.43135,0.31777,-0.0504,0.51004,-0.64829,-0.07065,-0.2134,-1.30142,-0.32692,1.25047,-0.01608,-0.66262
87086,1,,4,-0.47319,-0.80276,-1.64106,-0.59907,-1.27963,-0.79426,-1.36908,-0.64829,-1.75056,-1.38581,0.75024,1.18131,0.93983,2.06157,1.6483
87460,1,5,2,-0.28061,-0.54697,0.21894,0.19978,0.54597,-1.53811,-0.06815,0.92426,1.60926,-0.40843,-1.22398,0.37062,-0.45627,-0.28494,0.74865
88688,1,,3,0.49096,1.27755,-0.79036,-0.17135,-0.13863,1.25134,-1.80272,-0.82302,-0.91061,-1.05978,-1.24914,-2.50561,,,
